Word:			1	1b	2	2b	3	3b	4	4b	5	5b
coleus			0	0	0.00021	0	0	0	0	0	0	0
wedding			0	0.0006	0.00033	0.0003	0	3e-05	0.00031	5e-05	0	0
nasal			0	0	0	0	0	0.0001	7e-05	0	0	0
warming			0	0	0.00015	0	0	0	0.00015	0	0	0
cocked			0	0	6e-05	0	3e-05	9e-05	0	2e-05	4e-05	0
fiery			5e-05	4e-05	0	0	0	7e-05	5e-05	2e-05	0	4e-05
favors			0	0	0	0	0	0.00015	0.00011	0	0.00023	0
trappers		0.00024	0	0	0	0	0	0	0	0	0
misdeed			0.00024	0	0	0	0	0	0	0	0	0
delirium		0	0	0.00011	0	0.00011	0.00015	0	0	0	0
hushed			0	0	0.00017	0	0	0	0	3e-05	6e-05	0.00015
pies			0	0	0	0	4e-05	0	8e-05	0.00013	0	7e-05
defending		0	0	0	0	0	0	0	0.00024	0	0
cab			0	0	0	0	0	0	0	0	0	0.00018
lottery			0.00024	0	0	0	0	0	0	0	0	0
unknown			2e-05	2e-05	2e-05	2e-05	1e-05	0	1e-05	2e-05	1e-05	0
serenity		0	0	0	0	0	0	0	0	0	0.00018
morality		0	0	0	0	0.00011	0	0	0	0	0
practicality		0	0.00013	0	0	7e-05	0	0	0	0	0
hoped			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mysterious		0.00011	3e-05	0	6e-05	3e-05	2e-05	0	1e-05	2e-05	0
mclure			0	0	0.00058	0.00023	3e-05	0	6e-05	2e-05	0	0
embarrassment		1e-05	2e-05	0	1e-05	1e-05	2e-05	0.0	2e-05	2e-05	5e-05
carey			0	9e-05	0	0.0001	0.00028	0	0	0	0	0
pittypat's		0	0	0.00023	9e-05	3e-05	2e-05	8e-05	2e-05	0	3e-05
storage			0	0	0	0	0	0.00015	0	0	0	0
regretting		0	0	0	0	0	0	0	0.00013	8e-05	0.00019
personality		0	9e-05	0.00011	0	0	8e-05	0	0	0	0
clogged			0	0	0	0	0.00011	0	0	0	0	0
rumbled			0	7e-05	0	0	8e-05	0	4e-05	3e-05	0	0
maw			0	0	0	0	0.00063	0	0	0	0	0
dissensions		0	0	0	0.00019	0	0	0	0	0	0
coffin			0	0	0	0	0	0	0	0.00039	0	0.00013
'members		0	0	0	0	0	0	0	8e-05	0	0
dispose			0	0	0	0	0	0	0	8e-05	0	0
incredulity		0	0.00038	0	0	0	0.0001	0	0	0	0
attenuated		0	0	0	0.00019	0	0	0	0	0	0
morphia			0	0	0	0.00013	0.00015	0	0	0	0	0
marveling		0	0	0	0	0	0	0	8e-05	0	0
ox			0	0	0	0	0.00063	0	0	0	0	0
kitchens		0	0	0	0	6e-05	0	6e-05	4e-05	0	0
ebbed			0	0	0	0	0	0	0.00011	0	0	0
creak			0	0	0	0	0.00021	0	0	0	0	0
accompanied		0.00033	0	0	0	0	0	0	0	0.0002	0
arily			0	0	0	0	0.00011	0	0	0	0	0
occurred		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
t'arin'			0	0	0	0	0	0	0	0	0	0.00018
bind			0	0	0.00015	0	0.00015	0	0	0	0	0
fearlessness		0	0	0	0	0	0	0	0	0	0.00018
life's			0	0	0	0	0	0	0	0	0.0001	0.00013
loving			7e-05	7e-05	8e-05	6e-05	0	0	5e-05	2e-05	6e-05	0.00014
breeze			0	0.00028	0	0	0.00011	0	0	0	8e-05	0
civilization		5e-05	4e-05	9e-05	0	0	3e-05	5e-05	2e-05	0	0
southwest		0	0	0	0	0.00021	0	0	0	0	0
pleases			0	0	0	0.00013	0	0	0	6e-05	0	0
whined			0	0	0	0	0.00015	0.00021	0	0	0	0
doll			0	0	0	0	0.00011	0	0	0	0	0
remorse			0	0	0	0	0	6e-05	8e-05	6e-05	0	0.00022
refight			0	0	0	0	0	8e-05	0	4e-05	0	0.0001
masquerading		0	0.00018	0	0	0	0	0	0	0	0
waking			0	0	0.00015	0	0	0.0001	0	0	0	0
writhing		0	0	0	4e-05	7e-05	3e-05	2e-05	0	3e-05	4e-05
prolonged		0	0	0	0	0.00015	0.0001	0	0	0	0
waging			0	0	0	0.00019	0	0	0	0	0	0
sighted			0.00024	0	0	0	0	0	0	0	0	0
citizens		0	0	6e-05	6e-05	0	0	0.00026	0.00017	4e-05	0
